"Alabama A & M University" "University of Alabama at Birmingham" 0.7537
"Alabama A & M University" "Oakwood University" 0.9281999999999999
"Alabama A & M University" "Spring Hill College" 0.7282
"Alabama A & M University" "Anthem College-Phoenix" 0.4918
"Alabama A & M University" "Northern Arizona University" 0.7989999999999999
"Alabama A & M University" "University of Central Arkansas" 0.8711
"Alabama A & M University" "Harding University" 0.6695
"Alabama A & M University" "Bethesda University of California" 0.5088
"Alabama A & M University" "California College of the Arts" 0.6731
"Alabama A & M University" "California State University-Chico" 0.7309
"Alabama A & M University" "University of California-Davis" 0.47809999999999997
"Alabama A & M University" "California Christian College" 0.9586
"Alabama A & M University" "Columbia College-Hollywood" 0.8002
"Alabama A & M University" "Humboldt State University" 0.891
"Alabama A & M University" "Loyola Marymount University" 0.5331
"Alabama A & M University" "Mount St Mary's College" 0.6535
"Alabama A & M University" "San Francisco Art Institute" 0.9967
"Alabama A & M University" "Simpson University" 0.819
"Alabama A & M University" "Whittier College" 0.6237
"Alabama A & M University" "The Art Institute of Colorado" 0.9149
"Alabama A & M University" "National American University-Denver" 0.8086
"Alabama A & M University" "Regis University" 0.7107
"Alabama A & M University" "Albertus Magnus College" 0.6851
"Alabama A & M University" "Connecticut College" 0.45599999999999996
"Alabama A & M University" "Catholic University of America" 0.6062
"Alabama A & M University" "Lynn University" 0.8786
"Alabama A & M University" "Florida Agricultural and Mechanical University" 0.882
"Alabama A & M University" "University of Florida" 0.42600000000000005
"Alabama A & M University" "State College of Florida-Manatee-Sarasota" 0.9437
"Alabama A & M University" "Remington College-Tampa Campus" 0.8183
"Alabama A & M University" "Everest University-North Orlando" 0.8978999999999999
"Alabama A & M University" "Stetson University" 0.6505
"Alabama A & M University" "Albany State University" 0.8665
"Alabama A & M University" "Clark Atlanta University" 0.9021
"Alabama A & M University" "College of Coastal Georgia" 0.8823
"Alabama A & M University" "Georgia College and State University" 0.6799
"Alabama A & M University" "Shorter University" 0.8276
"Alabama A & M University" "Valdosta State University" 0.8896999999999999
"Alabama A & M University" "School of the Art Institute of Chicago" 0.751
"Alabama A & M University" "Bradley University" 0.5351
"Alabama A & M University" "Hebrew Theological College" 0.757
"Alabama A & M University" "Loyola University Chicago" 0.5813
"Alabama A & M University" "National Louis University" 0.8628
"Alabama A & M University" "University of St Francis" 0.7257
"Alabama A & M University" "Harrison College-Indianapolis" 0.9655
"Alabama A & M University" "Indiana University-East" 0.9434
"Alabama A & M University" "Brown Mackie College-Michigan City" 0.9837
"Alabama A & M University" "Brown Mackie College-South Bend" 0.9037999999999999
"Alabama A & M University" "Rose-Hulman Institute of Technology" 0.563
"Alabama A & M University" "Trine University" 0.7794
"Alabama A & M University" "Drake University" 0.5644
"Alabama A & M University" "Kaplan University-Mason City Campus" 0.7641
"Alabama A & M University" "Loras College" 0.6824
"Alabama A & M University" "Northwestern College" 0.6587
"Alabama A & M University" "Brown Mackie College-Kansas City" 0.9694
"Alabama A & M University" "Haskell Indian Nations University" 0.7756000000000001
"Alabama A & M University" "Newman University" 0.7726
"Alabama A & M University" "MidAmerica Nazarene University" 0.7384
"Alabama A & M University" "Asbury University" 0.6483
"Alabama A & M University" "Georgetown College" 0.7258
"Alabama A & M University" "National College-Lexington" 0.9329000000000001
"Alabama A & M University" "Daymar College-Owensboro" 0.9164
"Alabama A & M University" "Union College" 0.9496
"Alabama A & M University" "Louisiana State University-Shreveport" 0.9659
"Alabama A & M University" "University of New Orleans" 0.97
"Alabama A & M University" "Southeastern Louisiana University" 0.9332
"Alabama A & M University" "College of the Atlantic" 0.6009
"Alabama A & M University" "Goucher College" 0.6122
"Alabama A & M University" "Loyola University Maryland" 0.4477
"Alabama A & M University" "Salisbury University" 0.6233
"Alabama A & M University" "McDaniel College" 0.5739
"Alabama A & M University" "Babson College" 0.3841
"Alabama A & M University" "Framingham State University" 0.7859
"Alabama A & M University" "Massachusetts Institute of Technology" 0.3607
"Alabama A & M University" "Mount Holyoke College" 0.4727
"Alabama A & M University" "College of Our Lady of the Elms" 0.6126
"Alabama A & M University" "Simmons College" 0.5791999999999999
"Alabama A & M University" "Tufts University" 0.36949999999999994
"Alabama A & M University" "Adrian College" 0.7469
"Alabama A & M University" "Cleary University" 0.8491
"Alabama A & M University" "University of Detroit Mercy" 0.7232
"Alabama A & M University" "Cornerstone University" 0.8343
"Alabama A & M University" "Kalamazoo College" 0.5173
"Alabama A & M University" "Finlandia University" 0.8289
"Alabama A & M University" "Bethany Lutheran College" 0.7970999999999999
"Alabama A & M University" "Herzing University-Minneapolis" 0.5581
"Alabama A & M University" "Brown College-Mendota Heights" 0.7914
"Alabama A & M University" "The College of Saint Scholastica" 0.6076
"Alabama A & M University" "Dunwoody College of Technology" 0.878
"Alabama A & M University" "Mississippi University for Women" 0.9254
"Alabama A & M University" "Southeastern Baptist College" 0.6039
"Alabama A & M University" "Avila University" 0.8002
"Alabama A & M University" "Culver-Stockton College" 0.8459
"Alabama A & M University" "Maryville University of Saint Louis" 0.6179
"Alabama A & M University" "Stevens Institute of Business & Arts" 0.7581
"Alabama A & M University" "Washington University in St Louis" 0.351
"Alabama A & M University" "The University of Montana-Western" 0.921
"Alabama A & M University" "Doane College-Crete" 0.6852
"Alabama A & M University" "Midland University" 0.7984
"Alabama A & M University" "College of Saint Mary" 0.872
"Alabama A & M University" "Sierra Nevada College" 0.7392
"Alabama A & M University" "Keene State College" 0.6574
"Alabama A & M University" "Berkeley College-Woodland Park" 0.9796
"Alabama A & M University" "Rabbinical College of America" 0.8686
"Alabama A & M University" "Saint Peter's University" 0.7582
"Alabama A & M University" "University of New Mexico-Main Campus" 0.8086
"Alabama A & M University" "University of the Southwest" 0.8492
"Alabama A & M University" "Globe Institute of Technology" 0.8103
"Alabama A & M University" "Berkeley College-New York" 0.9844999999999999
"Alabama A & M University" "Cooper Union for the Advancement of Science and Art" 0.4649
"Alabama A & M University" "College of Staten Island CUNY" 0.9998
"Alabama A & M University" "CUNY New York City College of Technology" 0.8523000000000001
"Alabama A & M University" "Dowling College" 0.9506
"Alabama A & M University" "Hobart William Smith Colleges" 0.5014
"Alabama A & M University" "Ithaca College" 0.5339
"Alabama A & M University" "Le Moyne College" 0.5531
"Alabama A & M University" "Manhattan School of Music" 0.5700999999999999
"Alabama A & M University" "Mercy College" 0.9568
"Alabama A & M University" "Molloy College" 0.6292
"Alabama A & M University" "The New School" 0.6577999999999999
"Alabama A & M University" "Niagara University" 0.6401
"Alabama A & M University" "Rabbinical College Bobover Yeshiva Bnei Zion" 0.5019
"Alabama A & M University" "Rochester Institute of Technology" 0.6526
"Alabama A & M University" "The College of Saint Rose" 0.6269
"Alabama A & M University" "Stony Brook University" 0.6321
"Alabama A & M University" "SUNY College at Oswego" 0.7129
"Alabama A & M University" "Villa Maria College" 0.9796
"Alabama A & M University" "Yeshiva Karlin Stolin" 0.6247
"Alabama A & M University" "South College-Asheville" 0.8628
"Alabama A & M University" "Laurel University" 0.6247
"Alabama A & M University" "University of North Carolina at Greensboro" 0.7373
"Alabama A & M University" "Piedmont International University" 0.8914
"Alabama A & M University" "Rasmussen College-North Dakota" 0.9658
"Alabama A & M University" "University of Mary" 0.8056
"Alabama A & M University" "University of Akron Main Campus" 0.8748
"Alabama A & M University" "University of Cincinnati-Blue Ash College" 0.913
"Alabama A & M University" "Columbus College of Art and Design" 0.7006
"Alabama A & M University" "Kent State University at Kent" 0.7762
"Alabama A & M University" "Miami University-Oxford" 0.483
"Alabama A & M University" "Oberlin College" 0.40569999999999995
"Alabama A & M University" "Ohio State University-Newark Campus" 0.8598
"Alabama A & M University" "Ohio University-Main Campus" 0.6257
"Alabama A & M University" "Pontifical College Josephinum" 0.5186999999999999
"Alabama A & M University" "Wright State University-Lake Campus" 0.8031999999999999
"Alabama A & M University" "Cameron University" 0.9111
"Alabama A & M University" "Northwestern Oklahoma State University" 0.9774
"Alabama A & M University" "University of Oklahoma-Norman Campus" 0.6285
"Alabama A & M University" "University of Science and Arts of Oklahoma" 0.9126
"Alabama A & M University" "Marylhurst University" 0.9229
"Alabama A & M University" "Oregon Institute of Technology" 0.8473999999999999
"Alabama A & M University" "University of Western States" 0.2914
"Alabama A & M University" "Cedar Crest College" 0.6923
"Alabama A & M University" "Immaculata University" 0.8086
"Alabama A & M University" "Muhlenberg College" 0.43299999999999994
"Alabama A & M University" "Pennsylvania State University-Penn State Erie-Behrend College" 0.5919
"Alabama A & M University" "Pennsylvania State University-Penn State Berks" 0.7262
"Alabama A & M University" "Pennsylvania State University-Penn State Schuylkill" 0.8636999999999999
"Alabama A & M University" "University of Pittsburgh-Greensburg" 0.7585
"Alabama A & M University" "Point Park University" 0.7936
"Alabama A & M University" "Swarthmore College" 0.35719999999999996
"Alabama A & M University" "Waynesburg University" 0.7516
"Alabama A & M University" "Wilson College" 0.7182
"Alabama A & M University" "New England Institute of Technology" 0.7804
"Alabama A & M University" "Southern Wesleyan University" 0.8488
"Alabama A & M University" "Columbia International University" 0.6392
"Alabama A & M University" "North Greenville University" 0.745
"Alabama A & M University" "Dakota State University" 0.8181
"Alabama A & M University" "Northern State University" 0.8061
"Alabama A & M University" "Belmont University" 0.6118
"Alabama A & M University" "Victory University" 0.7627
"Alabama A & M University" "Trevecca Nazarene University" 0.825
"Alabama A & M University" "The Art Institute of Houston" 0.9014
"Alabama A & M University" "Dallas Christian College" 0.9891
"Alabama A & M University" "Hallmark College" 0.8088
"Alabama A & M University" "Midwestern State University" 0.8492
"Alabama A & M University" "The University of Texas-Pan American" 0.8984
"Alabama A & M University" "Southwestern University" 0.5906
"Alabama A & M University" "The University of Texas at Tyler" 0.8502000000000001
"Alabama A & M University" "Texas Tech University" 0.701
"Alabama A & M University" "Snow College" 0.8172999999999999
"Alabama A & M University" "Westminster College" 0.72
"Alabama A & M University" "Marlboro College" 0.7156
"Alabama A & M University" "Regent University" 0.7797999999999999
"Alabama A & M University" "Hollins University" 0.6943
"Alabama A & M University" "Mary Baldwin College" 0.9006000000000001
